filesize	Mops/sec
64	51.400296
128	49.725504
256	48.742424
512	46.260029
1024	46.744255
2048	43.792952
3072	31.923800
4096	23.217922
5120	20.108606
6144	18.764949
7168	16.707632
8192	16.102393
