filesize	Mops/sec
64	47.786111
128	38.121827
256	33.552485
512	30.425600
1024	28.026767
2048	24.117975
3072	0.006983
4096	0.006563
5120	0.006486
6144	0.006197
7168	0.006589
8192	0.005864
