filesize	Mops/sec
64	37.649072
128	47.283269
256	47.604314
512	47.501144
1024	39.548432
2048	33.323781
3072	0.799726
4096	0.572647
5120	0.468537
6144	0.410754
7168	0.365394
8192	0.332129
