filesize	Mops/sec
64	39.335875
128	31.727777
256	23.443114
512	15.551520
1024	9.200000
2048	4.952238
3072	0.747411
4096	0.540971
5120	0.447257
6144	0.393479
7168	0.351319
8192	0.320647
