filesize	Mops/sec
64	51.656136
128	49.254687
256	48.803658
512	47.613313
1024	46.477126
2048	43.397045
3072	11.922484
4096	0.007330
5120	0.006856
6144	0.005910
7168	0.006102
8192	0.007188
