filesize	Mops/sec
64	51.252741
128	48.408949
256	45.951750
512	46.892065
1024	46.751075
2048	43.758139
3072	0.853253
4096	0.585286
5120	0.480442
6144	0.416451
7168	0.371039
8192	0.333693
