"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
12.219,1.372,71.945,14.464,0,0,146124800,630,6510,0,0,40306,5751
11.721,1.746,71.446,15.087,0,0,157245440,660,13256,0,0,38306,8212
11.706,1.619,71.357,15.318,0,0,183869440,660,7524,0,0,44066,4712
12.189,1.866,73.010,12.935,0,0,167948288,480,6502,0,0,39439,226
11.831,2.242,71.856,14.072,0,0,117411840,300,7612,0,0,29718,551
12.639,1.363,74.597,11.400,0,0,75907072,420,7196,0,0,18304,404
12.763,1.239,82.404,3.594,0,0,95858688,540,6456,0,0,24198,223
9.035,1.361,81.436,8.168,0,0,79351808,570,7040,0,0,22246,380
13.424,0.985,84.236,1.355,0,0,14766080,600,9118,0,0,1743,382
12.453,0.747,86.800,0,0,0,0,480,6510,0,0,441,171
13.473,0.494,85.909,0.124,0,0,49152,540,6980,0,0,506,215
12.609,0.499,86.891,0,0,0,0,360,6754,0,0,447,191
12.919,0.497,86.584,0,0,0,0,300,6440,0,0,432,136
12.919,1.242,78.012,7.826,0,0,132448256,480,7322,0,0,33390,257
12.827,1.494,74.222,11.457,0,0,193843200,480,6890,0,0,50352,216
11.925,1.242,74.286,12.547,0,0,156139520,390,6518,0,0,37843,703
12.594,1.746,74.190,11.471,0,0,165629952,300,7354,0,0,46842,214
12.313,1.990,74.254,11.443,0,0,180830208,420,8116,0,0,45425,383
11.750,2.125,83.625,2.500,0,0,188739584,540,6464,0,0,47335,160
9.814,1.491,75.404,13.292,0,0,144179200,1750,8803,0,0,31439,283
11.180,1.615,70.807,16.398,0,0,179380224,950,8682,0,0,43507,7557
12.438,2.363,66.915,18.284,0,0,187682816,180,6464,0,0,51930,22071
12.547,1.739,72.547,13.168,0,0,162144256,660,6952,0,0,37015,270
12.407,2.233,69.851,15.509,0,0,179560448,760,7828,0,0,43038,350
12.219,1.746,72.070,13.965,0,0,175017984,360,6464,0,0,44793,212
12.407,2.233,70.347,15.012,0,0,185376768,360,6930,0,0,56254,258
12.252,2.475,71.287,13.985,0,0,192151552,600,6842,0,0,42400,233
12.204,1.619,70.859,15.318,0,0,159105024,180,6600,0,0,33318,223
12.531,1.861,71.340,14.268,0,0,149700608,420,13546,0,0,36774,330
12.687,1.244,75.124,10.945,0,0,129179648,450,13150,0,0,31185,3732
12.375,1,81.250,5.375,0,0,103112704,362,6406,0,0,25136,2053
13.433,0.622,80.348,5.597,0,0,94613504,420,6988,0,0,24188,266
12.968,0.748,80.424,5.860,0,0,86568960,420,6812,0,0,21314,225
12.827,0.374,86.800,0,0,0,745472,300,6256,0,0,422,154
12.625,0.375,87,0,0,0,0,420,6668,0,0,483,170
13.076,0.374,86.550,0,0,0,12288,300,6512,0,0,479,203
12.594,0.374,87.032,0,0,0,0,360,6326,0,0,479,134
13.614,0.371,86.015,0,0,0,0,240,6690,0,0,484,202
12.984,0.624,79.526,6.866,0,0,77283328,690,6882,0,0,20048,262
12.968,0.748,79.052,7.232,0,0,85778432,240,6256,0,0,21778,266
10.807,0.994,79.379,8.820,0,0,82182144,480,6778,0,0,21965,326
13.755,1.115,80.050,5.081,0,0,179232768,360,6818,0,0,43273,235
12.547,0.870,77.640,8.944,0,0,131932160,360,6306,0,0,32741,171
13.103,1.731,79.481,5.686,0,0,132104192,480,6698,0,0,32903,235
13.151,1.241,80.025,5.583,0,0,96423936,300,6256,0,0,24999,176
11.816,1.493,79.229,7.463,0,0,133509120,420,7372,0,0,31816,4108
12.935,1.493,76.741,8.831,0,0,109617152,450,6720,0,0,28010,1182
12.811,0.871,82.463,3.856,0,0,81637376,420,6256,0,0,19971,202
12.594,1.122,77.307,8.978,0,0,68526080,600,14264,0,0,17710,378
12.919,1.491,74.037,11.553,0,0,132030464,720,6782,0,0,49268,317
12.080,1.370,72.229,14.321,0,0,144314368,240,6080,0,0,19354,327
12.935,0.871,74.129,12.065,0,0,61284352,360,6642,0,0,15252,291
12.919,0.994,74.037,12.050,0,0,40239104,480,6650,0,0,11352,280
12.594,0.748,74.564,12.095,0,0,46473216,420,6120,0,0,11773,234
13.292,0.621,73.913,12.174,0,0,42680320,450,12448,0,0,11069,260
13.614,0.743,72.525,13.119,0,0,72892416,480,7492,0,0,18790,365
