filesize	Mops/sec
64	40.564669
128	41.094985
256	39.813371
512	40.233726
1024	39.461669
2048	36.853561
3072	27.712361
4096	20.635562
5120	18.550153
6144	17.171459
7168	15.668377
8192	15.542530
