filesize	Mops/sec
64	0.312920
128	0.254874
256	0.224350
512	0.205750
1024	0.191100
2048	0.175113
3072	0.163200
4096	0.152650
5120	0.140750
6144	0.108290
7168	0.096032
8192	0.083150
