filesize	Mops/sec
64	50.396766
128	47.985738
256	45.627605
512	44.749662
1024	44.391958
2048	41.440808
3072	29.833035
4096	22.723636
5120	19.625955
6144	18.316809
7168	16.757597
8192	15.803043
